area,area_title,prim_state,occ_code,occ_title,o_group,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse,h_pct25,h_median,h_pct75,a_pct25,a_median,a_pct75
56,Wyoming,WY,15-0000,Computer and Mathematical Occupations,major,3570,2.9,13.058,0.38,43.64,90770,2.3,27.58,37.14,54.19,57370,77240,112710
1,Alabama,AL,15-1211,Computer Systems Analysts,detailed,5950,6.9,2.897,0.88,52.18,108520,1.4,38.22,49.31,63.6,79490,102560,132280
2,Alaska,AK,15-1211,Computer Systems Analysts,detailed,430,9.3,1.382,0.42,42.41,88210,5.2,29.41,41.69,52.63,61180,86720,109460
4,Arizona,AZ,15-1211,Computer Systems Analysts,detailed,11860,10.8,3.788,1.15,48.32,100510,3.4,33.22,48.21,61.57,69100,100280,128070
5,Arkansas,AR,15-1211,Computer Systems Analysts,detailed,2620,5.2,2.064,0.63,40.54,84330,3.4,29.28,37.12,47.44,60900,77210,98670
6,California,CA,15-1211,Computer Systems Analysts,detailed,49930,3.4,2.782,0.85,62.22,129420,0.8,46.51,59.79,75.56,96750,124370,157170
8,Colorado,CO,15-1211,Computer Systems Analysts,detailed,9290,18.8,3.28,1,56.89,118340,1.4,47.73,50.95,65,99280,105980,135200
9,Connecticut,CT,15-1211,Computer Systems Analysts,detailed,6610,3.5,3.978,1.21,51.77,107670,1.6,40.66,49.92,60.95,84570,103830,126780
10,Delaware,DE,15-1211,Computer Systems Analysts,detailed,2660,7,5.658,1.72,63.28,131620,11.4,42.99,54.36,69.23,89410,113060,143990
11,District of Columbia,DC,15-1211,Computer Systems Analysts,detailed,2310,15.3,3.293,1,57.71,120030,3.7,41.44,49.98,64.62,86200,103960,134410
12,Florida,FL,15-1211,Computer Systems Analysts,detailed,32760,3.2,3.424,1.04,50.99,106050,1.5,36.31,47.97,61.87,75520,99770,128680
13,Georgia,GA,15-1211,Computer Systems Analysts,detailed,12240,2.7,2.573,0.78,50.88,105820,1.7,37.72,48.14,62.73,78470,100120,130470
15,Hawaii,HI,15-1211,Computer Systems Analysts,detailed,1440,4.7,2.34,0.71,44.82,93230,2.4,34.65,42.3,50.96,72070,87980,105990
16,Idaho,ID,15-1211,Computer Systems Analysts,detailed,1910,17.1,2.325,0.71,43.92,91360,3.8,32.48,38.92,52.9,67550,80960,110030
17,Illinois,IL,15-1211,Computer Systems Analysts,detailed,20570,3.3,3.422,1.04,49.02,101970,1,38,47.82,60.09,79030,99470,124980
18,Indiana,IN,15-1211,Computer Systems Analysts,detailed,10900,4.4,3.454,1.05,46.45,96610,1.8,35.68,44.38,56.64,74210,92310,117810
19,Iowa,IA,15-1211,Computer Systems Analysts,detailed,4770,4.6,3.088,0.94,45.86,95380,1.1,36.62,43.77,53.49,76170,91040,111270
20,Kansas,KS,15-1211,Computer Systems Analysts,detailed,5970,4.3,4.228,1.29,48.27,100410,2.3,36.59,49.13,60.7,76120,102180,126250
21,Kentucky,KY,15-1211,Computer Systems Analysts,detailed,4120,6.3,2.098,0.64,39.92,83040,2.2,27.84,38.93,48.69,57910,80980,101280
22,Louisiana,LA,15-1211,Computer Systems Analysts,detailed,2430,7.3,1.314,0.4,41.12,85530,4.5,31.15,39.74,47.73,64790,82660,99270
23,Maine,ME,15-1211,Computer Systems Analysts,detailed,2420,6,3.893,1.19,42.97,89380,1.8,34.95,39.33,48.95,72700,81810,101810
24,Maryland,MD,15-1211,Computer Systems Analysts,detailed,13800,5.7,5.153,1.57,56.95,118460,1.5,40.45,53.42,69.59,84140,111100,144740
25,Massachusetts,MA,15-1211,Computer Systems Analysts,detailed,14070,3.4,3.861,1.18,60.04,124870,5,44.35,53.79,70.44,92250,111890,146510
26,Michigan,MI,15-1211,Computer Systems Analysts,detailed,15000,2.4,3.449,1.05,48.8,101510,0.7,38.01,48.12,57.72,79060,100100,120060
27,Minnesota,MN,15-1211,Computer Systems Analysts,detailed,12180,3.5,4.227,1.29,52.38,108940,0.8,40.84,51.41,62.43,84960,106930,129850
28,Mississippi,MS,15-1211,Computer Systems Analysts,detailed,1610,8.9,1.4,0.43,42.19,87750,3,29.54,38.47,50.53,61440,80020,105090
29,Missouri,MO,15-1211,Computer Systems Analysts,detailed,7860,5.2,2.731,0.83,46.95,97650,2.1,34.45,46.47,58.45,71650,96660,121580
30,Montana,MT,15-1211,Computer Systems Analysts,detailed,580,9.6,1.155,0.35,39.55,82260,4.2,30.62,39.43,46.63,63700,82020,96990
31,Nebraska,NE,15-1211,Computer Systems Analysts,detailed,3570,4.8,3.567,1.09,43.43,90330,1.2,37.12,39.77,48.37,77200,82710,100610
32,Nevada,NV,15-1211,Computer Systems Analysts,detailed,1920,25.2,1.295,0.39,51.63,107380,13.5,36.48,48.45,58.49,75880,100780,121660
33,New Hampshire,NH,15-1211,Computer Systems Analysts,detailed,2450,7.3,3.634,1.11,53.59,111470,2.3,40.33,50.89,63.52,83890,105850,132110
34,New Jersey,NJ,15-1211,Computer Systems Analysts,detailed,14970,10.4,3.563,1.08,60.69,126240,4.9,45.54,59.23,75.8,94710,123190,157660
35,New Mexico,NM,15-1211,Computer Systems Analysts,detailed,2480,6,2.937,0.89,46.1,95890,3,32.99,42.52,55.08,68610,88440,114560
36,New York,NY,15-1211,Computer Systems Analysts,detailed,19760,2.7,2.104,0.64,56.04,116560,0.9,39.97,51.69,65.98,83130,107510,137240
37,North Carolina,NC,15-1211,Computer Systems Analysts,detailed,26220,2.6,5.468,1.66,53.64,111580,1.2,39.51,50.85,64.18,82170,105770,133480
38,North Dakota,ND,15-1211,Computer Systems Analysts,detailed,190,11,0.453,0.14,48.4,100680,3.9,37.99,45.13,57.75,79010,93880,120110
39,Ohio,OH,15-1211,Computer Systems Analysts,detailed,16530,3.6,3.023,0.92,47.72,99260,1.3,35.94,45.87,57.63,74760,95400,119870
40,Oklahoma,OK,15-1211,Computer Systems Analysts,detailed,3320,6.1,1.997,0.61,49.74,103460,3.4,36.52,47.88,63.91,75950,99590,132930
41,Oregon,OR,15-1211,Computer Systems Analysts,detailed,4760,4.5,2.449,0.75,56.93,118410,1,45.89,54.32,63.13,95450,112990,131310
42,Pennsylvania,PA,15-1211,Computer Systems Analysts,detailed,19630,5,3.3,1,44.73,93040,2.1,34.04,40.13,52.43,70810,83460,109050
44,Rhode Island,RI,15-1211,Computer Systems Analysts,detailed,1590,6.4,3.258,0.99,54.56,113490,1.3,39.71,51.51,64.73,82600,107140,134630
45,South Carolina,SC,15-1211,Computer Systems Analysts,detailed,7720,7,3.474,1.06,49.17,102270,2.2,34.96,44.71,56.95,72720,92990,118460
46,South Dakota,SD,15-1211,Computer Systems Analysts,detailed,1010,15.6,2.27,0.69,47.77,99350,3.9,37.54,44.37,55.62,78090,92290,115690
47,Tennessee,TN,15-1211,Computer Systems Analysts,detailed,8460,7.7,2.629,0.8,47.42,98630,7.5,35.9,45.43,58.18,74670,94490,121020
48,Texas,TX,15-1211,Computer Systems Analysts,detailed,50680,4,3.738,1.14,55.41,115240,1.3,39.24,51.54,65.62,81610,107200,136490
49,Utah,UT,15-1211,Computer Systems Analysts,detailed,2960,5.2,1.766,0.54,46.64,97020,5.6,36.76,43.58,53.96,76460,90650,112240
51,Virginia,VA,15-1211,Computer Systems Analysts,detailed,23830,4.4,5.985,1.82,55.68,115820,1.2,40.22,52.09,65.78,83650,108350,136820
53,Washington,WA,15-1211,Computer Systems Analysts,detailed,20060,7.1,5.738,1.75,63.83,132760,2.8,46.87,61.88,77.45,97490,128710,161100
54,West Virginia,WV,15-1211,Computer Systems Analysts,detailed,1190,11.3,1.723,0.52,46.84,97420,6.6,31.62,47.16,54.17,65780,98090,112670
55,Wisconsin,WI,15-1211,Computer Systems Analysts,detailed,8460,5.8,2.932,0.89,46.26,96220,2,36.47,43.26,51.97,75870,89980,108090
56,Wyoming,WY,15-1211,Computer Systems Analysts,detailed,240,17.6,0.888,0.27,53.53,111340,9.4,30.62,51.22,69.59,63690,106540,144750
1,Alabama,AL,15-1221,Computer and Information Research Scientists,detailed,480,3.3,0.235,1.01,50.66,105360,1.2,34.77,49.16,62.52,72320,102250,130040
4,Arizona,AZ,15-1221,Computer and Information Research Scientists,detailed,360,18.4,0.114,0.49,70.92,147500,2.4,59.2,64.86,78.41,123130,134910,163080
6,California,CA,15-1221,Computer and Information Research Scientists,detailed,7560,3.9,0.421,1.82,90.11,187420,2.4,65.92,84.39,102.48,137110,175530,213150
8,Colorado,CO,15-1221,Computer and Information Research Scientists,detailed,350,11.3,0.125,0.54,63.49,132070,2.2,49.91,60.98,70.25,103810,126840,146120
9,Connecticut,CT,15-1221,Computer and Information Research Scientists,detailed,50,30.3,0.03,0.13,60.61,126070,6.5,47.32,54.12,65.63,98420,112580,136510
11,District of Columbia,DC,15-1221,Computer and Information Research Scientists,detailed,300,20.8,0.431,1.86,70.01,145620,1.6,57.37,70.09,82.72,119330,145780,172060
12,Florida,FL,15-1221,Computer and Information Research Scientists,detailed,1160,22.3,0.121,0.52,63.31,131680,3.3,46.63,56.82,74.62,96990,118190,155200
13,Georgia,GA,15-1221,Computer and Information Research Scientists,detailed,620,4.6,0.13,0.56,44.49,92530,2.2,35.74,40.19,52,74340,83600,108160
15,Hawaii,HI,15-1221,Computer and Information Research Scientists,detailed,110,22,0.181,0.78,66.21,137720,4.8,57.46,64.02,67.34,119520,133160,140070
16,Idaho,ID,15-1221,Computer and Information Research Scientists,detailed,**,**,**,**,84.31,175360,5.5,78.68,78.68,101.22,163660,163660,210530
17,Illinois,IL,15-1221,Computer and Information Research Scientists,detailed,190,20.4,0.032,0.14,55.49,115410,2.5,41.64,55.99,64.48,86610,116450,134110
18,Indiana,IN,15-1221,Computer and Information Research Scientists,detailed,680,1,0.216,0.93,42.68,88770,0.8,31.34,39.6,50.87,65180,82360,105800
19,Iowa,IA,15-1221,Computer and Information Research Scientists,detailed,40,35.7,0.028,0.12,49.38,102710,13.1,34.77,53.13,54.63,72320,110510,113620
20,Kansas,KS,15-1221,Computer and Information Research Scientists,detailed,60,1.4,0.042,0.18,57.44,119470,0.7,50.33,50.33,65.97,104690,104690,137210
21,Kentucky,KY,15-1221,Computer and Information Research Scientists,detailed,210,16.1,0.108,0.47,51.58,107290,5.1,46.76,55.89,55.89,97250,116250,116250
22,Louisiana,LA,15-1221,Computer and Information Research Scientists,detailed,110,10.7,0.062,0.27,51.23,106560,2,43.31,53.9,58.4,90080,112110,121470
24,Maryland,MD,15-1221,Computer and Information Research Scientists,detailed,2310,5.4,0.862,3.72,68.54,142570,1.4,55.64,70,82.72,115730,145600,172060
25,Massachusetts,MA,15-1221,Computer and Information Research Scientists,detailed,**,**,**,**,85.97,178820,5,67.66,81.74,91.57,140730,170020,190470
26,Michigan,MI,15-1221,Computer and Information Research Scientists,detailed,270,12.9,0.061,0.27,57.6,119800,4.5,30.47,54,76.33,63390,112330,158760
27,Minnesota,MN,15-1221,Computer and Information Research Scientists,detailed,50,24.7,0.016,0.07,62.71,130440,7.9,51.25,56.16,74.49,106600,116810,154930
28,Mississippi,MS,15-1221,Computer and Information Research Scientists,detailed,290,7.7,0.253,1.09,53.58,111450,2.7,40.03,53.42,66.97,83260,111110,139300
29,Missouri,MO,15-1221,Computer and Information Research Scientists,detailed,510,19.7,0.177,0.76,64.04,133200,11.7,39.7,52.11,74.78,82570,108380,155550
31,Nebraska,NE,15-1221,Computer and Information Research Scientists,detailed,30,16.4,0.034,0.15,51.46,107030,7.1,40.24,49.03,57.22,83700,101990,119020
32,Nevada,NV,15-1221,Computer and Information Research Scientists,detailed,60,11.7,0.042,0.18,59.91,124620,4,44.46,60.98,79.1,92480,126840,164530
33,New Hampshire,NH,15-1221,Computer and Information Research Scientists,detailed,150,32.7,0.223,0.96,65.9,137070,3.2,49.42,63.24,79.3,102800,131540,164950
34,New Jersey,NJ,15-1221,Computer and Information Research Scientists,detailed,1200,18.4,0.286,1.23,64.55,134260,5.8,46.41,62.48,78.61,96540,129950,163510
35,New Mexico,NM,15-1221,Computer and Information Research Scientists,detailed,**,**,**,**,81.77,170070,1.4,65.35,82.78,82.78,135940,172190,172190
36,New York,NY,15-1221,Computer and Information Research Scientists,detailed,740,10,0.079,0.34,76.17,158440,2.8,55.13,72.82,91.44,114670,151470,190180
37,North Carolina,NC,15-1221,Computer and Information Research Scientists,detailed,370,21,0.078,0.34,59.02,122750,5.5,39.09,50.57,69.95,81300,105180,145500
39,Ohio,OH,15-1221,Computer and Information Research Scientists,detailed,170,5.1,0.031,0.14,57.47,119540,1.3,45.34,59.14,64.63,94310,123010,134430
40,Oklahoma,OK,15-1221,Computer and Information Research Scientists,detailed,490,7.9,0.296,1.28,45.88,95430,0.7,35.89,43.56,53.88,74650,90600,112070
41,Oregon,OR,15-1221,Computer and Information Research Scientists,detailed,790,23.3,0.408,1.76,85.96,178790,5.7,68.27,76.99,88.38,142000,160140,183830
42,Pennsylvania,PA,15-1221,Computer and Information Research Scientists,detailed,460,7.8,0.077,0.33,70.95,147580,10.4,45.15,57.15,81.22,93910,118870,168930
44,Rhode Island,RI,15-1221,Computer and Information Research Scientists,detailed,460,1.5,0.935,4.03,57.52,119640,0.5,44.22,58.67,69.24,91980,122030,144020
45,South Carolina,SC,15-1221,Computer and Information Research Scientists,detailed,470,5.6,0.209,0.9,53.53,111350,1.8,41.81,55,61.55,86960,114400,128020
47,Tennessee,TN,15-1221,Computer and Information Research Scientists,detailed,70,38.2,0.022,0.1,69.86,145310,7.1,53.34,57.74,94.91,110940,120090,197420
48,Texas,TX,15-1221,Computer and Information Research Scientists,detailed,1580,13.6,0.116,0.5,66.99,139340,6.4,47.87,62.35,81.23,99570,129690,168970
49,Utah,UT,15-1221,Computer and Information Research Scientists,detailed,810,3.6,0.485,2.09,47.62,99050,1.3,35.74,42.6,56.26,74340,88610,117020
51,Virginia,VA,15-1221,Computer and Information Research Scientists,detailed,2340,6.2,0.587,2.53,70.13,145860,2.1,54.9,69.11,84.64,114190,143750,176050
53,Washington,WA,15-1221,Computer and Information Research Scientists,detailed,2940,8.3,0.841,3.63,97.55,202910,0.8,77.92,104.89,112.07,162080,218180,233110
54,West Virginia,WV,15-1221,Computer and Information Research Scientists,detailed,50,28.7,0.068,0.29,86.99,180940,15.5,50.48,80.52,95.68,105000,167480,199020
55,Wisconsin,WI,15-1221,Computer and Information Research Scientists,detailed,40,41.5,0.015,0.06,62.89,130800,15,48.08,72.45,74.04,100000,150700,154010
1,Alabama,AL,15-1242,Database Administrators,detailed,1550,3.8,0.756,1.51,43.03,89510,1.3,33.51,40.9,51.6,69700,85070,107330
2,Alaska,AK,15-1242,Database Administrators,detailed,90,12.4,0.292,0.58,43.45,90370,4.1,33.34,43.65,51.19,69360,90800,106470
4,Arizona,AZ,15-1242,Database Administrators,detailed,1510,7,0.483,0.96,50.23,104470,2.5,35,51.89,63.24,72800,107940,131530
5,Arkansas,AR,15-1242,Database Administrators,detailed,490,6,0.384,0.77,43.83,91160,2,30.99,40.83,51.76,64460,84930,107660
6,California,CA,15-1242,Database Administrators,detailed,8070,10.2,0.45,0.9,55.95,116380,1.5,37.68,53.93,68.12,78370,112170,141680
8,Colorado,CO,15-1242,Database Administrators,detailed,1950,11,0.689,1.37,56,116470,3.8,37.81,55.97,68.44,78630,116420,142360
9,Connecticut,CT,15-1242,Database Administrators,detailed,870,12.2,0.522,1.04,52.86,109950,4.9,35.14,55,67.36,73080,114400,140110
10,Delaware,DE,15-1242,Database Administrators,detailed,740,4.8,1.571,3.13,50.65,105350,1.3,37.52,49.64,65.67,78040,103240,136590
11,District of Columbia,DC,15-1242,Database Administrators,detailed,520,12.8,0.741,1.48,55.99,116470,4.3,40.14,57.8,70.47,83480,120220,146580
12,Florida,FL,15-1242,Database Administrators,detailed,4690,3,0.49,0.98,50.28,104590,1.3,33.91,49.17,64.87,70530,102280,134930
13,Georgia,GA,15-1242,Database Administrators,detailed,2860,4.9,0.601,1.2,51.38,106880,1.3,38.39,50,63.18,79850,104000,131420
15,Hawaii,HI,15-1242,Database Administrators,detailed,110,11,0.186,0.37,43.41,90300,5,27.12,43.51,56.38,56410,90500,117270
16,Idaho,ID,15-1242,Database Administrators,detailed,210,7.6,0.251,0.5,40.15,83500,2.5,28.5,36.34,45.98,59280,75590,95640
17,Illinois,IL,15-1242,Database Administrators,detailed,3370,4.7,0.561,1.12,52.24,108650,1.7,32.84,46.42,65.89,68300,96560,137050
18,Indiana,IN,15-1242,Database Administrators,detailed,1280,6.3,0.407,0.81,36.6,76130,4.2,24.03,36.53,48.94,49990,75980,101800
19,Iowa,IA,15-1242,Database Administrators,detailed,410,6.2,0.268,0.54,45.14,93890,1.9,34.42,43.31,54.5,71600,90090,113360
20,Kansas,KS,15-1242,Database Administrators,detailed,1070,5.2,0.761,1.52,56.57,117660,2.7,48.98,64.04,64.04,101870,133200,133200
21,Kentucky,KY,15-1242,Database Administrators,detailed,690,6.4,0.351,0.7,40.18,83570,2.5,27.68,37.89,50.03,57570,78810,104070
22,Louisiana,LA,15-1242,Database Administrators,detailed,360,26.5,0.193,0.39,44.12,91760,8.9,33.48,44.76,53.78,69640,93100,111860
23,Maine,ME,15-1242,Database Administrators,detailed,240,10.5,0.392,0.78,46.66,97060,2.6,35.7,45.83,55.72,74260,95320,115890
24,Maryland,MD,15-1242,Database Administrators,detailed,1790,9,0.669,1.33,56.61,117750,2.5,40.16,54.71,69.22,83520,113810,143980
25,Massachusetts,MA,15-1242,Database Administrators,detailed,2220,6.4,0.609,1.21,56.67,117870,1.7,42.91,58.43,69.02,89250,121520,143560
26,Michigan,MI,15-1242,Database Administrators,detailed,1460,8.4,0.335,0.67,44.7,92980,3.2,30.72,47,57.76,63890,97760,120150
27,Minnesota,MN,15-1242,Database Administrators,detailed,1140,6.4,0.394,0.79,48.68,101260,1.2,35.62,46.61,61.27,74080,96940,127430
28,Mississippi,MS,15-1242,Database Administrators,detailed,200,7.7,0.176,0.35,39.55,82270,2.3,28.48,38.26,46.61,59240,79580,96960
29,Missouri,MO,15-1242,Database Administrators,detailed,1640,8.3,0.571,1.14,43.59,90660,2.5,27.37,39.25,58.37,56940,81630,121400
30,Montana,MT,15-1242,Database Administrators,detailed,270,18.9,0.545,1.09,40.26,83750,1.9,35.46,38.69,45.67,73760,80480,94990
31,Nebraska,NE,15-1242,Database Administrators,detailed,570,5.3,0.57,1.14,42.28,87940,2.4,28.88,40.93,52.15,60070,85140,108460
32,Nevada,NV,15-1242,Database Administrators,detailed,560,17.4,0.376,0.75,41.38,86080,8.6,28.57,39.35,52.57,59420,81850,109350
33,New Hampshire,NH,15-1242,Database Administrators,detailed,290,15.1,0.428,0.85,49.81,103610,2.2,37.1,49.8,58.38,77170,103580,121420
34,New Jersey,NJ,15-1242,Database Administrators,detailed,2080,8.4,0.495,0.99,58.88,122460,3.1,39.6,57.43,75.23,82360,119450,156480
35,New Mexico,NM,15-1242,Database Administrators,detailed,580,7.7,0.687,1.37,46.61,96950,2.7,33.47,43.56,53.83,69620,90610,111970
36,New York,NY,15-1242,Database Administrators,detailed,4390,10.3,0.467,0.93,50.11,104230,4.1,32.87,47.17,62.13,68370,98110,129220
37,North Carolina,NC,15-1242,Database Administrators,detailed,2480,9.5,0.517,1.03,50.23,104480,3.5,33.84,50.48,63.33,70380,104990,131730
38,North Dakota,ND,15-1242,Database Administrators,detailed,120,13.7,0.28,0.56,39.74,82660,4.4,26.9,35.75,53.2,55940,74350,110650
39,Ohio,OH,15-1242,Database Administrators,detailed,1930,8.1,0.352,0.7,45.61,94860,1.9,31.86,45.44,60.72,66260,94510,126290
40,Oklahoma,OK,15-1242,Database Administrators,detailed,780,5.5,0.468,0.93,41.13,85550,1.6,28.2,36.89,52.87,58650,76720,109970
41,Oregon,OR,15-1242,Database Administrators,detailed,910,10.1,0.468,0.93,49.55,103070,2.6,36.48,47.35,61.4,75870,98480,127720
42,Pennsylvania,PA,15-1242,Database Administrators,detailed,2820,19.1,0.474,0.94,48.15,100160,1.9,35.47,46.68,60.27,73780,97100,125350
44,Rhode Island,RI,15-1242,Database Administrators,detailed,280,19.2,0.568,1.13,51.76,107670,7.6,40.79,53.14,60.21,84840,110540,125240
45,South Carolina,SC,15-1242,Database Administrators,detailed,790,5.6,0.357,0.71,48.76,101420,3,35.91,46,58.2,74700,95680,121060
46,South Dakota,SD,15-1242,Database Administrators,detailed,150,7.4,0.347,0.69,40.05,83290,1.6,33.65,40.53,47.83,69990,84300,99480
47,Tennessee,TN,15-1242,Database Administrators,detailed,1650,9.3,0.512,1.02,50.24,104490,4.4,35.29,51.73,63.34,73410,107600,131740
48,Texas,TX,15-1242,Database Administrators,detailed,6900,6.9,0.509,1.02,48.31,100490,3.9,30.57,49.05,64.18,63580,102010,133500
49,Utah,UT,15-1242,Database Administrators,detailed,650,4.1,0.388,0.77,46.97,97700,2.4,32.35,44.56,60.18,67290,92680,125170
50,Vermont,VT,15-1242,Database Administrators,detailed,120,23.3,0.4,0.8,47.8,99430,5.2,38.11,48.14,57.94,79270,100120,120520
51,Virginia,VA,15-1242,Database Administrators,detailed,4780,10.6,1.202,2.4,52.78,109790,7.6,33.23,49.34,66.17,69130,102630,137640
53,Washington,WA,15-1242,Database Administrators,detailed,2050,6.1,0.586,1.17,56.11,116710,2,39.01,52.64,73.72,81140,109490,153330
54,West Virginia,WV,15-1242,Database Administrators,detailed,230,6.9,0.327,0.65,35.85,74570,3.1,25.94,31.17,42.72,53950,64830,88860
55,Wisconsin,WI,15-1242,Database Administrators,detailed,1110,5,0.386,0.77,46.08,95840,1.5,34.01,44,55.74,70740,91520,115930
56,Wyoming,WY,15-1242,Database Administrators,detailed,120,16.7,0.425,0.85,39.72,82620,5.9,31.01,38.19,51.86,64490,79430,107870
1,Alabama,AL,15-1243,Database Architects,detailed,310,30.9,0.149,0.38,55,114400,5.2,40.68,54.81,61.94,84620,114000,128840
2,Alaska,AK,15-1243,Database Architects,detailed,50,15.9,0.168,0.43,60.41,125650,4.5,42.41,57.42,74.68,88220,119440,155320
4,Arizona,AZ,15-1243,Database Architects,detailed,1040,10.1,0.334,0.85,58.21,121080,4.6,42.99,58.95,75.23,89420,122620,156470
5,Arkansas,AR,15-1243,Database Architects,detailed,290,8.5,0.225,0.57,46.24,96180,2.2,38.59,47.25,52.27,80280,98280,108710
6,California,CA,15-1243,Database Architects,detailed,6120,4.5,0.341,0.86,78.2,162660,1,62.58,78.01,93.73,130170,162250,194960
8,Colorado,CO,15-1243,Database Architects,detailed,2180,9.3,0.769,1.95,68.22,141890,1.9,52.38,64.8,82.29,108940,134780,171160
9,Connecticut,CT,15-1243,Database Architects,detailed,650,7.5,0.392,0.99,67.6,140610,2.4,53.64,69.01,75.27,111570,143540,156560
10,Delaware,DE,15-1243,Database Architects,detailed,70,13.4,0.159,0.4,73.83,153570,5.3,66.32,71.31,75.25,137950,148320,156530
11,District of Columbia,DC,15-1243,Database Architects,detailed,560,12.4,0.803,2.04,78.35,162980,4.3,63.14,79.19,90.82,131340,164720,188910
12,Florida,FL,15-1243,Database Architects,detailed,1860,7.6,0.195,0.49,59.04,122790,5.2,43.03,59.6,72.18,89490,123960,150130
13,Georgia,GA,15-1243,Database Architects,detailed,2790,4.5,0.587,1.49,70.79,147250,1,60.87,74.62,84.07,126600,155210,174870
15,Hawaii,HI,15-1243,Database Architects,detailed,50,17.1,0.079,0.2,66.2,137690,1.1,55.81,63.96,82.97,116080,133040,172580
16,Idaho,ID,15-1243,Database Architects,detailed,290,27.6,0.347,0.88,64,133130,7.2,44.1,64.23,81.54,91730,133590,169600
17,Illinois,IL,15-1243,Database Architects,detailed,1500,11.4,0.249,0.63,59.73,124240,5.9,47.56,62.02,75.14,98920,128990,156280
18,Indiana,IN,15-1243,Database Architects,detailed,700,10.1,0.221,0.56,44.8,93180,5.6,28.13,40.4,57.38,58510,84020,119360
19,Iowa,IA,15-1243,Database Architects,detailed,400,4.2,0.261,0.66,62.82,130660,1.1,52.61,63.62,73.56,109420,132330,153010
20,Kansas,KS,15-1243,Database Architects,detailed,440,24.5,0.31,0.79,77.8,161820,14.4,51.42,74.08,107.48,106950,154090,223550
21,Kentucky,KY,15-1243,Database Architects,detailed,690,9.6,0.35,0.89,47.72,99270,3.7,31.15,42.76,61.42,64790,88930,127750
22,Louisiana,LA,15-1243,Database Architects,detailed,110,17.1,0.058,0.15,49.94,103870,3.7,38.83,49.81,58.5,80770,103600,121670
23,Maine,ME,15-1243,Database Architects,detailed,100,24,0.159,0.4,57.21,118990,9.1,43.17,58.07,69.86,89790,120790,145320
24,Maryland,MD,15-1243,Database Architects,detailed,710,9.8,0.266,0.67,72.4,150590,4.6,52.98,67.07,85.78,110200,139510,178420
25,Massachusetts,MA,15-1243,Database Architects,detailed,1650,12.8,0.452,1.15,73.48,152850,2.3,61.17,73.09,86.34,127230,152030,179580
26,Michigan,MI,15-1243,Database Architects,detailed,1290,15.3,0.296,0.75,55,114390,5.9,41.81,58.99,65.05,86970,122700,135310
27,Minnesota,MN,15-1243,Database Architects,detailed,790,7.7,0.276,0.7,61.72,128380,3,50.86,62.67,74.12,105790,130350,154180
28,Mississippi,MS,15-1243,Database Architects,detailed,**,**,**,**,38.34,79750,4.3,34.59,34.59,36.5,71950,71950,75920
29,Missouri,MO,15-1243,Database Architects,detailed,1930,17.3,0.67,1.7,51.23,106560,3.3,35.61,49.43,63.44,74070,102810,131940
30,Montana,MT,15-1243,Database Architects,detailed,50,18.3,0.101,0.26,56.36,117220,5.6,41.59,54.12,67.58,86510,112580,140560
31,Nebraska,NE,15-1243,Database Architects,detailed,700,18.5,0.697,1.77,62.61,130230,3.7,49.24,62.07,72.11,102430,129110,149990
32,Nevada,NV,15-1243,Database Architects,detailed,300,8.1,0.202,0.51,62.74,130500,5.5,44.63,60.19,75.34,92820,125180,156700
33,New Hampshire,NH,15-1243,Database Architects,detailed,250,15.2,0.372,0.94,59.21,123150,6.6,44.39,59.82,69.75,92330,124430,145080
34,New Jersey,NJ,15-1243,Database Architects,detailed,1290,5,0.308,0.78,76.41,158930,2.1,64.85,78.08,84.89,134880,162410,176570
35,New Mexico,NM,15-1243,Database Architects,detailed,180,22.3,0.216,0.55,57.01,118590,3.3,46.15,60.58,66,95990,126000,137280
36,New York,NY,15-1243,Database Architects,detailed,3780,7.1,0.403,1.02,69.3,144140,1.6,53.28,68.38,83.88,110820,142230,174480
37,North Carolina,NC,15-1243,Database Architects,detailed,3330,9.2,0.695,1.76,58.87,122460,6.5,45,60.51,70.91,93600,125860,147500
38,North Dakota,ND,15-1243,Database Architects,detailed,60,6.5,0.139,0.35,51.08,106250,3.7,48.22,49.87,57.83,100300,103730,120290
39,Ohio,OH,15-1243,Database Architects,detailed,1880,7.8,0.343,0.87,58.47,121620,1.6,48,61.17,65.55,99850,127230,136350
40,Oklahoma,OK,15-1243,Database Architects,detailed,420,12.8,0.254,0.64,57.66,119940,4.9,40.4,53.4,70.61,84020,111070,146860
41,Oregon,OR,15-1243,Database Architects,detailed,540,17.5,0.279,0.71,63.68,132460,2.8,50.9,64.9,71.27,105880,134980,148240
42,Pennsylvania,PA,15-1243,Database Architects,detailed,2290,6.7,0.386,0.98,58.63,121960,2.9,42.21,60.47,73.76,87790,125790,153420
44,Rhode Island,RI,15-1243,Database Architects,detailed,100,28.4,0.202,0.51,56.98,118510,1.7,48.4,56.24,64.51,100670,116980,134170
45,South Carolina,SC,15-1243,Database Architects,detailed,850,11.4,0.384,0.97,60.74,126340,3.3,47.66,62.51,76.81,99130,130020,159770
46,South Dakota,SD,15-1243,Database Architects,detailed,50,27,0.121,0.31,55.87,116210,3,48.58,54.53,62.36,101040,113410,129720
